Title,Aid,View,Danmaku,Reply,Favorite,Coin,Share,Like,Dislike,Pts
你和同桌有过哪些难忘的经历？,52094838,24266,21,171,108,77,7,929,0,16561
【魔道祖师】震惊！用这几首电视剧bgm打开魔道居然毫无违和感！,52199288,7397,274,61,703,342,37,811,0,16090
【凹凸手书】天使【艾比】,52181986,5654,39,75,684,163,2,737,0,14435
【美杜莎女王×云韵】【黑科技斗破】传说||我化成传说守护你,52246598,10343,54,143,420,317,28,496,0,14368
【古惑仔之水灵篇】6 陈浩南出击救太子 包皮仔回归忆旧情,52251851,11275,284,156,253,847,14,800,0,13277
安哥生贺！Haeschenparty/安迷修个人向【凹凸世界】,52282033,2760,221,122,750,413,35,727,0,13014
【开联】论黄导两季能挖多少坑,52222285,10313,139,182,236,70,9,423,0,12460
【少年歌行】你是不是姓叶？【无萧恶搞，请勿KY】,52136950,9007,263,154,275,325,48,1048,0,11249
中日合作坑出底线！最新评分跌破5.0！令人扼腕叹息的劣质圈钱动画《拾又之国》,52312254,6661,129,220,246,449,26,901,0,10636
【少年歌行/无心萧瑟】天启不问//富贵江山都不要 只愿求得一人心【原声高甜  神仙情话预警】,52240167,4747,63,93,443,279,29,476,0,10593
[天行九歌] 焰灵姬与韩非关系逐渐清晰！,52095239,11260,24,90,83,37,9,88,0,9231
《一人之下》老天师PK王也《无损版》,52138356,12731,19,27,39,31,5,101,0,8723
【洛洛历险记】最毒辣的野心家 被全世界敌对依旧全身而退的蓝毒兽,52060330,11014,32,98,55,61,2,204,0,8580
【卫练】人生若只如初见，何事秋风悲画扇,52231162,3843,63,162,288,308,27,544,0,8495
【那年那兔那些事儿】沉睡的龙都有逆鳞，谁若是动了它的逆鳞，它必会醒来让冒犯者付出代价！,52074602,8661,30,35,171,118,6,286,0,8421
【安雷手书】放任猛兽互相撕咬吧,52034596,2313,161,88,518,342,10,448,0,8305
少女番爱好者居然被这个画风奇怪的热血番吸引了？凹凸世界的魅力何在？【刺说国漫】,52153535,4140,241,110,254,195,18,531,0,7570
声控大作战第一百八十期：嗯？这位北哥怎么还两副面孔呢？,52273488,6985,60,91,159,74,16,617,0,7518
